label,LST,NDVI,elevation,ACQ_DATE
1,15639.5,6615.0,308,1627603200000
1,15672.0,5285.0,230,1627603200000
1,15615.5,5766.0,318,1627603200000
1,15680.5,5033.0,150,1627603200000
1,15673.5,5154.0,364,1627603200000
1,15653.0,4662.0,309,1627603200000
1,15706.5,5582.0,147,1627603200000
1,15687.0,4179.0,144,1627603200000
1,15688.0,5178.0,257,1627603200000
1,15607.0,6359.0,326,1627603200000
1,15668.5,5964.0,245,1627603200000
1,15641.5,5735.0,556,1627603200000
1,15612.5,5110.0,457,1627603200000
1,15636.5,4517.0,261,1627603200000
1,15585.0,5490.0,907,1627603200000
1,15637.0,6291.0,515,1627603200000
1,15602.5,6741.0,243,1627603200000
1,15686.5,5704.0,159,1627603200000
1,15486.5,4943.0,861,1627603200000
1,15590.0,5705.0,521,1627603200000
1,15585.0,4588.0,549,1627603200000
1,15661.0,6744.0,318,1627603200000
1,15522.0,5850.0,748,1627603200000
1,15589.5,4665.0,314,1627603200000
1,15340.5,4035.0,1102,1627603200000
1,15481.5,4099.0,995,1627603200000
1,15734.0,5711.0,710,1627603200000
1,15653.0,5460.0,446,1627603200000
1,15678.0,5742.0,370,1627603200000
1,15710.0,5160.0,233,1627603200000
1,15370.0,4398.0,1101,1627603200000
1,15330.5,3834.0,1325,1627603200000
1,15726.0,5123.0,569,1627603200000
1,15689.5,5378.0,494,1627603200000
1,15660.0,5096.0,430,1627603200000
1,15522.5,5512.0,808,1627603200000
1,15678.0,4486.0,587,1627603200000
1,15429.0,5063.0,919,1627603200000
1,15593.5,3381.0,411,1627603200000
1,15521.5,5122.0,893,1627603200000
1,15594.5,4416.0,591,1627603200000
1,15360.5,2237.0,175,1627603200000
1,15455.5,5281.0,638,1627603200000
1,15422.0,5052.0,514,1627603200000
1,15536.0,4707.0,735,1627603200000
1,15552.0,3605.0,763,1627603200000
1,15567.0,4409.0,814,1627603200000
1,15500.0,5018.0,561,1627603200000
1,15643.0,4563.0,343,1627603200000
1,15608.0,3973.0,615,1627603200000
1,15474.5,4844.0,553,1627603200000
1,15457.0,5262.0,658,1627603200000
1,15456.5,6296.0,981,1627603200000
1,15604.0,4660.0,902,1627603200000
1,15428.5,5749.0,757,1627603200000
1,15418.0,6425.0,974,1627603200000
1,15651.0,3543.0,306,1627603200000
1,15805.0,4866.0,265,1627603200000
1,15815.5,4375.0,188,1627603200000
1,15453.5,4505.0,901,1627603200000
1,15458.5,6643.0,817,1627603200000
1,15707.5,4325.0,209,1627603200000
1,15769.5,5025.0,224,1627603200000
1,15562.5,5790.0,719,1627603200000
1,15448.5,6819.0,962,1627603200000
1,15630.0,4540.0,357,1627603200000
1,15401.0,6714.0,633,1627603200000
1,15352.0,6065.0,851,1627603200000
1,15438.0,6827.0,770,1627603200000
1,15541.0,5587.0,594,1627603200000
1,15441.0,6547.0,691,1627603200000
1,15343.0,5913.0,942,1627603200000
1,15445.5,6386.0,783,1627603200000
1,15521.5,5558.0,582,1627603200000
1,15397.5,6648.0,1025,1627603200000
1,15445.5,6386.0,757,1627603200000
1,15335.0,5816.0,1129,1627603200000
1,15459.5,6051.0,980,1627603200000
1,15294.0,6929.0,1316,1627603200000
1,15314.0,5544.0,1358,1627603200000
1,15206.5,6953.0,1515,1627603200000
1,15633.0,4947.0,344,1627603200000
1,15508.5,5544.0,523,1627603200000
1,15351.5,4523.0,1266,1627603200000
1,15608.5,5469.0,488,1627603200000
1,15528.5,3941.0,494,1627603200000
1,15330.5,5008.0,1287,1627603200000
1,15600.5,4617.0,566,1627603200000
1,15280.5,5682.0,1484,1627603200000
1,15372.5,4310.0,1168,1627603200000
1,15289.0,6358.0,1356,1627603200000
1,15366.5,3939.0,1137,1627603200000
1,15575.5,5618.0,617,1627603200000
1,15349.5,5462.0,1346,1627603200000
1,15436.0,5008.0,1121,1627603200000
1,15421.5,4598.0,1350,1627603200000
1,15334.5,5605.0,1222,1627603200000
1,15285.5,4221.0,1559,1627603200000
1,15344.5,5063.0,1095,1627603200000
1,15231.0,5574.0,1469,1627603200000
1,15232.5,4757.0,1709,1627603200000
1,15690.5,3948.0,364,1627603200000
1,15792.0,3770.0,137,1627689600000
1,15808.0,4847.0,191,1627689600000
1,15828.0,4562.0,146,1627689600000
1,15852.0,3978.0,128,1627689600000
1,15896.0,5633.0,241,1627689600000
1,15841.0,5787.0,157,1627689600000
1,15851.0,4471.0,184,1627689600000
1,15865.0,6419.0,249,1627689600000
1,15821.0,6119.0,288,1627689600000
1,15825.0,6297.0,406,1627689600000
1,15861.0,5975.0,339,1627689600000
1,15690.0,6045.0,334,1627689600000
1,15845.0,5154.0,364,1627689600000
1,15786.0,3958.0,205,1627689600000
1,15841.0,4359.0,340,1627689600000
1,15957.0,5260.0,291,1627689600000
1,15733.0,5759.0,277,1627689600000
1,15598.0,5694.0,371,1627689600000
1,15644.0,5993.0,353,1627689600000
1,15971.0,6140.0,256,1627689600000
1,15667.0,4971.0,794,1627689600000
1,15867.0,5582.0,147,1627689600000
1,15797.0,5604.0,211,1627689600000
1,15880.0,4179.0,144,1627689600000
1,15814.0,4829.0,701,1627689600000
1,15735.0,5778.0,640,1627689600000
1,15765.0,6359.0,326,1627689600000
1,15821.0,5137.0,320,1627689600000
1,15782.0,6984.0,226,1627689600000
1,15421.0,6177.0,853,1627689600000
1,15740.0,5490.0,907,1627689600000
1,15768.0,6291.0,515,1627689600000
1,15866.0,6570.0,260,1627689600000
1,15815.0,6741.0,243,1627689600000
1,15508.0,4752.0,1083,1627689600000
1,15767.0,3203.0,398,1627689600000
1,15795.0,3242.0,602,1627689600000
1,15852.0,4872.0,331,1627689600000
1,15898.0,6744.0,318,1627689600000
1,15709.0,5850.0,690,1627689600000
1,15941.0,6293.0,632,1627689600000
1,15853.0,5990.0,530,1627689600000
1,15925.0,6158.0,214,1627689600000
1,15510.0,4261.0,1124,1627689600000
1,16068.0,4694.0,972,1627689600000
