label,LST,NDVI,elevation,ACQ_DATE
0,15651.0,3329.0,1444,1627245083647
1,15584.0,6958.0,560,1627776000000
0,15489.0,4299.0,715,1625440556211
1,15690.0,6045.0,334,1627689600000
1,15743.0,3862.0,250,1627862400000
1,15676.0,4843.0,539,1627862400000
1,15802.0,2970.0,43,1627516800000
1,15206.5,6953.0,1515,1627603200000
1,15536.0,5639.0,977,1627948800000
1,15630.0,4540.0,357,1627603200000
1,15710.0,6382.0,668,1627862400000
1,15429.0,5063.0,919,1627603200000
1,15522.0,5850.0,748,1627603200000
1,15866.0,3294.0,159,1627516800000
0,15236.0,5096.0,1168,1627245083647
0,15495.0,3271.0,1171,1627245083647
1,15265.0,6671.0,1089,1627948800000
1,15514.0,2342.0,223,1627516800000
1,15509.5,5175.0,689,1628035200000
1,15479.5,5058.0,718,1628035200000
1,15608.0,3973.0,615,1627603200000
0,15402.0,2266.0,1925,1625610873467
1,15608.5,5469.0,488,1627603200000
1,15821.0,6119.0,288,1627689600000
1,15800.0,3860.5,32,1627430400000
1,15886.0,6182.0,268,1627776000000
1,15888.0,4085.0,145,1627862400000
1,15690.5,3948.0,364,1627603200000
1,15727.5,5633.0,241,1627603200000
0,15398.0,6097.0,324,1627245083647
1,15562.0,6425.0,974,1627689600000
1,15772.5,4471.0,109,1627516800000
1,15605.0,6072.0,668,1627689600000
1,15776.0,5083.0,573,1627862400000
1,15411.0,4387.0,959,1628035200000
0,15481.0,5169.0,1022,1626346662218
0,15201.0,5555.0,1478,1627245083647
1,15551.0,6090.0,820,1627862400000
1,15593.5,3381.0,411,1627603200000
1,15622.0,5141.0,938,1627776000000
1,15754.0,5047.0,669,1627776000000
1,15668.5,5964.0,245,1627603200000
1,15617.0,5575.0,480,1627948800000
0,15665.0,3666.0,17,1627245083647
1,15900.5,3053.0,177,1627516800000
1,15639.0,6426.0,802,1627948800000
1,15498.0,5047.0,1203,1627689600000
0,15385.0,6307.0,356,1627245083647
1,15734.0,5711.0,710,1627603200000
0,15869.0,2508.0,956,1627245083647
1,15529.0,5814.0,634,1628035200000
1,15583.0,5186.0,909,1627862400000
1,15743.0,4287.0,19,1627430400000
1,15455.5,4318.0,607,1627516800000
0,15736.0,4089.0,110,1627245083647
1,15630.0,5122.0,893,1627862400000
1,15472.0,3379.0,414,1627516800000
0,15229.0,3452.0,1318,1627245083647
1,15797.0,3134.0,40,1627516800000
0,15137.0,5294.0,1711,1627245083647
0,15600.0,2732.0,1324,1627245083647
1,15996.0,3940.5,295,1627344000000
1,15651.0,3941.0,494,1627776000000
1,15447.5,5345.0,934,1628208000000
1,15511.0,4344.0,1117,1627689600000
1,15765.0,6359.0,326,1627689600000
1,15715.0,4890.0,406,1627948800000
0,15078.0,2643.0,2173,1625206162179
1,15805.0,4866.0,265,1627603200000
0,15369.0,3870.0,1402,1627007297642
1,15513.5,5997.0,712,1628121600000
1,15743.0,4760.0,290,1627862400000
1,15539.5,6192.0,567,1628121600000
1,15532.0,6601.0,543,1628035200000
1,15607.0,6556.0,575,1627862400000
1,15611.0,6432.0,843,1627948800000
0,15412.0,4772.0,835,1627245083647
1,16013.0,3430.0,159,1627776000000
0,15183.0,4256.0,1355,1627245083647
1,15653.0,5460.0,446,1627603200000
0,14850.0,2872.0,1986,1627245083647
1,15641.5,5735.0,556,1627603200000
1,15780.0,5778.0,170,1627516800000
1,15758.0,3489.0,23,1627516800000
1,15544.0,5465.0,538,1627862400000
1,15300.0,6438.0,987,1627948800000
1,15906.5,3204.0,117,1627516800000
1,15535.0,4781.0,1361,1627948800000
1,15622.0,5897.0,393,1627689600000
0,15243.0,5597.0,1381,1627245083647
1,15673.0,6085.0,591,1627776000000
0,15097.0,4468.0,1408,1625551490407
1,15616.0,6083.0,487,1627776000000
1,15524.0,5121.0,1390,1627862400000
1,16068.0,4694.0,972,1627689600000
0,15500.0,5848.0,1445,1626527743897
1,15844.0,3924.0,21,1625443200000
1,15585.0,5351.0,341,1627689600000
0,15529.0,4197.0,580,1627231837216
1,15608.0,5798.0,727,1627776000000
1,15500.0,5600.0,1265,1627948800000
0,15616.5,2514.0,1383,1625508964114
1,15836.0,4844.0,196,1627516800000
1,15617.0,5575.0,480,1627776000000
1,15445.5,3461.0,365,1627516800000
1,15449.0,5416.0,1398,1627862400000
1,15439.0,6898.0,1298,1627776000000
1,15576.0,4819.0,524,1627516800000
0,15482.0,5951.0,182,1627245083647
1,15448.5,6819.0,962,1627516800000
0,15609.0,3567.0,1147,1627245083647
0,15487.0,3355.0,1289,1627245083647
1,15474.5,4844.0,553,1627603200000
1,15675.5,6182.0,320,1627516800000
1,15426.0,3215.0,913,1627516800000
1,15231.0,5574.0,1469,1627603200000
1,15664.0,5719.0,513,1627862400000
1,15880.0,4179.0,144,1627689600000
0,15173.0,4767.0,1646,1627245083647
1,15697.0,6515.0,485,1627776000000
0,15840.0,3075.0,309,1627245083647
0,15871.0,2177.0,1087,1627245083647
1,15641.0,6037.0,331,1627776000000
1,15767.0,3203.0,398,1627689600000
0,15773.0,3881.0,35,1626642424374
